"V1","V2","V3","V4","V5"
NA,29.2556279512937,29.3878343241717,31.2341292034772,29.9495164854447
31.0649378471664,29.9317400407029,NA,29.4416566078463,30.3769562158483
30.1522351373658,30.5850338453898,30.5233854917031,31.1423612458438,28.78386416005
30.0284879352308,30.4847263466859,27.3391526089519,30.5105166042463,NA
31.1488380698616,NA,29.4067707314402,NA,29.4709867447389
29.8476117489558,30.9402281649955,29.2488829633065,28.7292826076408,30.295819267001
NA,31.442164808742,29.7840282346556,29.8942101165202,31.555287474012
31.5257721527568,29.2869305402236,30.6670861029178,29.4027937940402,30.3607584871283
31.0253622938646,29.1703204812609,29.8361797482143,31.1179620118906,NA
NA,29.2434406372422,29.1927865509255,30.9753401967445,30.6282855777661
29.8598897884709,NA,NA,29.4831423757629,29.531156129831
NA,29.300037727119,31.1120530110269,30.3605890584329,30.0571679282937
30.8021212333669,NA,30.3289612893627,NA,NA
NA,30.1115799015782,31.5947329861743,29.4090712741231,29.6701653824528
29.5480741958062,29.5577666389002,NA,28.6398864146632,NA
NA,29.447653608318,29.3379107850442,30.8932484016728,30.6547075270462
NA,30.2291617200396,28.2239335618407,28.3102998881628,30.2870113321125
30.0793946393332,30.4870074080552,30.8073214685534,29.7664805806423,NA
30.3125383632356,29.5477249338128,29.7494015913552,NA,NA
31.3945935501194,29.8217452496071,29.17239274938,NA,30.6863178634819
30.5602568375492,29.1970781336372,29.0838946374458,28.8827165826004,28.5466875684869
29.7674435328685,27.4192531399926,29.8645049435138,27.6790421361211,NA
28.9768044590267,29.8638701452368,29.5079283657785,31.1450942433934,29.5639146555938
29.675728214025,30.4284181327642,NA,30.5768159142426,29.7448192971947
32.4444614227025,30.6073513219138,30.1023914100228,29.7567325429044,28.2743087337004
NA,29.7730885307476,28.7904976455154,29.128940660395,29.2336057051369
31.093262523643,30.0321405815886,29.1777005525426,29.2513755146329,NA
29.8972970045677,31.841294232145,NA,30.1088229065162,NA
29.4527512244689,NA,29.9474608985166,28.2527349515441,30.4106016230231
29.9530677550041,30.2367697354534,NA,29.9306179316062,29.2034695488414
30.3850970542682,30.288313445957,30.352380837183,NA,28.1917565195683
30.7358969438272,30.8522091418604,31.1079751797707,29.3714128194834,29.4987136126271
31.1270582875553,30.2127816056985,29.9258344008456,29.5257963636818,NA
30.7751612022858,29.5541970588576,NA,30.0953322740409,30.6148570766154
29.341841367346,29.8340564176845,NA,30.0178040099081,28.5346475680996
NA,29.2504388502169,NA,30.1705169302032,31.6509896001857
29.0302263214899,28.9326794416199,NA,29.5102564174392,30.4216860192889
31.2522830237931,NA,29.1094554811757,29.7477654124722,29.1202397801648
NA,30.244022414781,31.8040055962054,29.2751766369938,NA
29.4902241913876,28.3068504159725,28.974078919536,29.9669924523944,30.139387437726
29.5494700835075,29.8117234955792,29.5316146953925,NA,31.3193053906853
NA,30.0808908980083,30.2943450633544,29.3119410895561,29.1286474616018
29.9124434632207,30.8510241277718,32.460680881233,NA,28.9997578690146
29.9400273574104,NA,30.529003869955,29.6134015675072,32.2678466938866
NA,29.1095133507537,28.8195816946188,30.7673087436512,29.6712088072115
30.5459488134877,NA,29.0925745973042,31.999494743094,29.0578108606289
NA,30.8456179411858,NA,31.6622755924075,31.3080246591337
29.0477660201049,NA,29.1493383756494,29.4131240494263,28.8131666607172
29.8931568827329,29.0967956507419,30.9418618978552,31.1153746330469,31.3505565015977
28.8529562010527,32.2879944694299,29.7839497458616,31.2496634373186,30.002322955872
