"lemma"	"a.frequency"	"r.frequency"	"rus.freq.dict"
"а"	98	0.0573871288868068	0.82266
"абзац"	3	0.00175674884347368	0.00102
"абориген"	2	0.00117116589564912	0.00058
"абсолютно"	10	0.00585582947824559	0.00882
"абсолютный"	1	0.000585582947824559	0.00423
"абстрактный"	1	0.000585582947824559	0.00159
"авеню"	1	0.000585582947824559	0.00023
"авто"	1	0.000585582947824559	0.00063
"автомат"	1	0.000585582947824559	0.0056
"автомобильный"	1	0.000585582947824559	0.0034
"автор"	2	0.00117116589564912	0.02621
"агент"	1	0.000585582947824559	0.00392
"ажурный"	2	0.00117116589564912	0.00042
"азот"	1	0.000585582947824559	0.00079
"академический"	1	0.000585582947824559	0.00196
"аккуратно"	1	0.000585582947824559	0.00326
"аккуратный"	1	0.000585582947824559	0.00169
"акт"	5	0.0029279147391228	0.01136
"активация"	1	0.000585582947824559	0.00037
"активировать"	1	0.000585582947824559	0.00013
"актриса"	1	0.000585582947824559	0.00404
"акустический"	2	0.00117116589564912	0.00056
"алгебра"	3	0.00175674884347368	0.00039
"алфавит"	1	0.000585582947824559	0.00058
"алфавитный"	1	0.000585582947824559	0.00012
"альпинизм"	1	0.000585582947824559	0.00011
"альтруизм"	1	0.000585582947824559	0.0001
"алюминиевый"	1	0.000585582947824559	0.00157
"американский"	1	0.000585582947824559	0.01865
"аммиак"	1	0.000585582947824559	0.00028
"анализ"	3	0.00175674884347368	0.0157
"анализировать"	1	0.000585582947824559	0.00208
"аналитик"	1	0.000585582947824559	0.00181
"аналог"	4	0.00234233179129824	0.00159
"аналогично"	1	0.000585582947824559	0.00049
"аналогичный"	1	0.000585582947824559	0.00467
"анальный"	1	0.000585582947824559	0.00024
"анатом"	1	0.000585582947824559	0.00006
"анатомический"	1	0.000585582947824559	0.00034
"анатомия"	1	0.000585582947824559	0.00049
"английский"	9	0.00527024653042103	0.01084
"анекдот"	3	0.00175674884347368	0.0035
"анимационный"	1	0.000585582947824559	0.00014
"анимация"	1	0.000585582947824559	0.00014
"антисептик"	1	0.000585582947824559	0.00008
"антрополог"	2	0.00117116589564912	0.0001
"антропологический"	1	0.000585582947824559	0.00024
"аппарат"	3	0.00175674884347368	0.00882
"аппаратура"	2	0.00117116589564912	0.00186
"аппетитный"	1	0.000585582947824559	0.00024
"арабский"	1	0.000585582947824559	0.00205
"аргон"	1	0.000585582947824559	0.00009
"арестовывать"	1	0.000585582947824559	0.00074
"арифметика"	1	0.000585582947824559	0.00068
"армеец"	2	0.00117116589564912	0.00024
"армейский"	2	0.00117116589564912	0.00233
"артефакт"	1	0.000585582947824559	0.00011
"асимметрия"	1	0.000585582947824559	0.00024
"аспект"	2	0.00117116589564912	0.00356
"атмосфера"	3	0.00175674884347368	0.00564
"атрибут"	7	0.00409908063477192	0.00109
"ах"	1	0.000585582947824559	0.00829
"б"	27	0.0158107395912631	0.00705
"база"	2	0.00117116589564912	0.01467
"базилик"	1	0.000585582947824559	0.00006
"базироваться"	1	0.000585582947824559	0.00126
"балансировать"	1	0.000585582947824559	0.00038
"баллончик"	1	0.000585582947824559	0.00014
"банк"	1	0.000585582947824559	0.01781
"барак"	1	0.000585582947824559	0.00253
"барахтаться"	1	0.000585582947824559	0.00033
"баррикада"	1	0.000585582947824559	0.00051
"бдительный"	1	0.000585582947824559	0.00056
"бег"	1	0.000585582947824559	0.00183
"бегом"	1	0.000585582947824559	0.00113
"бегство"	1	0.000585582947824559	0.00111
"беда"	1	0.000585582947824559	0.00817
"бедный"	1	0.000585582947824559	0.0084
"бедро"	1	0.000585582947824559	0.00243
"бежать"	3	0.00175674884347368	0.01436
"без"	10	0.00585582947824559	0.10188
"безграмотность"	1	0.000585582947824559	0.00018
"беззвучный"	1	0.000585582947824559	0.00028
"безотносительно"	2	0.00117116589564912	0.0001
"безошибочно"	1	0.000585582947824559	0.00064
"безумно"	1	0.000585582947824559	0.00109
"безыскусный"	1	0.000585582947824559	0.00006
"белокурый"	1	0.000585582947824559	0.00049
"белый"	4	0.00234233179129824	0.03455
"берег"	1	0.000585582947824559	0.01647
"беременность"	1	0.000585582947824559	0.00157
"беседа"	11	0.00644141242607015	0.00875
"беседовать"	3	0.00175674884347368	0.00338
"бесконечно"	1	0.000585582947824559	0.00239
"бесплатный"	2	0.00117116589564912	0.00263
"беспокоить"	1	0.000585582947824559	0.00217
"беспокоиться"	3	0.00175674884347368	0.00281
"беспомощный"	2	0.00117116589564912	0.00135
"беспрестанный"	1	0.000585582947824559	0.00008
"беспроигрышный"	1	0.000585582947824559	0.00017
"бессмысленный"	1	0.000585582947824559	0.00291
"бесформенный"	1	0.000585582947824559	0.00043
"бесчисленный"	1	0.000585582947824559	0.0014
"бетонный"	1	0.000585582947824559	0.00161
"библиотека"	1	0.000585582947824559	0.00577
"биолог"	1	0.000585582947824559	0.00074
"биржа"	1	0.000585582947824559	0.00148
"битва"	1	0.000585582947824559	0.00228
"биться"	1	0.000585582947824559	0.00334
"благодарение"	2	0.00117116589564912	0.00015
"благодарить"	1	0.000585582947824559	0.00314
"благодарность"	1	0.000585582947824559	0.00342
"благородный"	1	0.000585582947824559	0.00367
"благоухать"	1	0.000585582947824559	0.00039
"близкий"	1	0.000585582947824559	0.02068
"близко"	2	0.00117116589564912	0.00462
"близлежащий"	1	0.000585582947824559	0.00047
"блок"	2	0.00117116589564912	0.00737
"блуждающий"	1	0.000585582947824559	0.00022
"блюдо"	2	0.00117116589564912	0.00313
"боже"	1	0.000585582947824559	0.00059
"бойня"	1	0.000585582947824559	0.00034
"бок"	3	0.00175674884347368	0.00774
"более"	16	0.00936932716519295	0.08854
"болезненный"	1	0.000585582947824559	0.00196
"боль"	2	0.00117116589564912	0.01133
"больничный"	1	0.000585582947824559	0.00152
"больной"	1	0.000585582947824559	0.01644
"больше"	10	0.00585582947824559	0.0634
"больший"	1	0.000585582947824559	0.01289
"большинство"	2	0.00117116589564912	0.01761
"большой"	20	0.0117116589564912	0.09444
"бородавчатый"	1	0.000585582947824559	0.00005
"бородка"	1	0.000585582947824559	0.00072
"ботинок"	1	0.000585582947824559	0.00391
"бочка"	2	0.00117116589564912	0.00266
"бояться"	1	0.000585582947824559	0.02665
"брать"	1	0.000585582947824559	0.02263
"браться"	1	0.000585582947824559	0.00333
"британец"	2	0.00117116589564912	0.0003
"бровь"	2	0.00117116589564912	0.00416
"бродить"	1	0.000585582947824559	0.00341
"бросать"	1	0.000585582947824559	0.00562
"бросаться"	1	0.000585582947824559	0.00261
"брюссельский"	1	0.000585582947824559	0.00018
"бубнить"	1	0.000585582947824559	0.00045
"будто"	1	0.000585582947824559	0.03423
"будущее"	18	0.0105404930608421	0.01314
"буква"	6	0.00351349768694736	0.00635
"буквально"	1	0.000585582947824559	0.0073
"буквальный"	1	0.000585582947824559	0.00088
"буквенный"	1	0.000585582947824559	0.00009
"бумага"	4	0.00234233179129824	0.01558
"бумажный"	2	0.00117116589564912	0.00219
"буркнуть"	1	0.000585582947824559	0.0013
"бурый"	1	0.000585582947824559	0.00087
"бутылочный"	1	0.000585582947824559	0.00017
"бухать"	1	0.000585582947824559	0.00024
"бы"	48	0.0281079814955788	0.23224
"бывать"	3	0.00175674884347368	0.02973
"бывший"	2	0.00117116589564912	0.01915
"былой"	1	0.000585582947824559	0.00176
"быстро"	7	0.00409908063477192	0.02557
"быстрый"	6	0.00351349768694736	0.01198
"быт"	2	0.00117116589564912	0.0034
"быть"	172	0.100720267025824	1.21607
"в"	380	0.222521520173333	3.13742
"важный"	6	0.00351349768694736	0.0277
"валко"	1	0.000585582947824559	0.00006
"вариант"	3	0.00175674884347368	0.01541
"вариационный"	9	0.00527024653042103	0.00005
"варьирование"	1	0.000585582947824559	0.00011
"ваш"	7	0.00409908063477192	0.05475
"вваливаться"	1	0.000585582947824559	0.00012
"вверх"	4	0.00234233179129824	0.00793
"вводить"	1	0.000585582947824559	0.00271
"вводный"	1	0.000585582947824559	0.00028
"вглядываться"	1	0.000585582947824559	0.00177
"вдруг"	5	0.0029279147391228	0.05032
"ведомо"	1	0.000585582947824559	0.00044
"ведро"	1	0.000585582947824559	0.00341
"ведь"	7	0.00409908063477192	0.07118
